Activity_ActivityIdentifier,Site_Abb,Activity_StartDate,variable,G_value,mine_value,difference_G_minus_mine,issue
f4ccd8fe-c891-4a10-92d3-955976a234d6,"Maple Creek, NE",2014-06-05,Specific_Conductance,,474.0,,mine missing (G has value)
f4ccd8fe-c891-4a10-92d3-955976a234d6,"Maple Creek, NE",2014-06-05,Water_Temperature_C,,19.2,,mine missing (G has value)
f4ccd8fe-c891-4a10-92d3-955976a234d6,"Maple Creek, NE",2014-06-05,pH,,7.4,,mine missing (G has value)
2d68184e-3891-4c04-8a36-a90153078005,"Maple Creek, NE",2014-06-10,Dissolved_Oxygen_mg_L,,8.4,,mine missing (G has value)
2d68184e-3891-4c04-8a36-a90153078005,"Maple Creek, NE",2014-06-10,Specific_Conductance,,846.0,,mine missing (G has value)
2d68184e-3891-4c04-8a36-a90153078005,"Maple Creek, NE",2014-06-10,Water_Temperature_C,,18.5,,mine missing (G has value)
2d68184e-3891-4c04-8a36-a90153078005,"Maple Creek, NE",2014-06-10,pH,,8.1,,mine missing (G has value)
d9f9baa5-0de9-4ba3-becf-923aa3148d23,"Maple Creek, NE",2014-06-25,Dissolved_Oxygen_mg_L,,7.3,,mine missing (G has value)
d9f9baa5-0de9-4ba3-becf-923aa3148d23,"Maple Creek, NE",2014-06-25,Specific_Conductance,,851.0,,mine missing (G has value)
d9f9baa5-0de9-4ba3-becf-923aa3148d23,"Maple Creek, NE",2014-06-25,Water_Temperature_C,,22.9,,mine missing (G has value)
d9f9baa5-0de9-4ba3-becf-923aa3148d23,"Maple Creek, NE",2014-06-25,pH,,8.1,,mine missing (G has value)
f8439fc1-e014-4c83-8979-ca274a2a2f93,"Maple Creek, NE",2014-07-08,Dissolved_Oxygen_mg_L,,7.7,,mine missing (G has value)
f8439fc1-e014-4c83-8979-ca274a2a2f93,"Maple Creek, NE",2014-07-08,Specific_Conductance,,824.0,,mine missing (G has value)
f8439fc1-e014-4c83-8979-ca274a2a2f93,"Maple Creek, NE",2014-07-08,Water_Temperature_C,,24.5,,mine missing (G has value)
f8439fc1-e014-4c83-8979-ca274a2a2f93,"Maple Creek, NE",2014-07-08,pH,,8.4,,mine missing (G has value)
3b8b26ee-d617-4e46-a9d5-7d523aaaccec,"Maple Creek, NE",2014-07-15,Dissolved_Oxygen_mg_L,,8.6,,mine missing (G has value)
3b8b26ee-d617-4e46-a9d5-7d523aaaccec,"Maple Creek, NE",2014-07-15,Specific_Conductance,,851.0,,mine missing (G has value)
3b8b26ee-d617-4e46-a9d5-7d523aaaccec,"Maple Creek, NE",2014-07-15,Water_Temperature_C,,20.7,,mine missing (G has value)
3b8b26ee-d617-4e46-a9d5-7d523aaaccec,"Maple Creek, NE",2014-07-15,pH,,8.3,,mine missing (G has value)
1a936d00-11b5-4daa-9142-785986ebf65f,"Maple Creek, NE",2014-07-22,Dissolved_Oxygen_mg_L,,7.9,,mine missing (G has value)
1a936d00-11b5-4daa-9142-785986ebf65f,"Maple Creek, NE",2014-07-22,Specific_Conductance,,770.0,,mine missing (G has value)
1a936d00-11b5-4daa-9142-785986ebf65f,"Maple Creek, NE",2014-07-22,Water_Temperature_C,,26.5,,mine missing (G has value)
1a936d00-11b5-4daa-9142-785986ebf65f,"Maple Creek, NE",2014-07-22,pH,,8.3,,mine missing (G has value)
f5f6824e-318f-441b-8694-7c3968fe4af8,"Maple Creek, NE",2014-08-05,Dissolved_Oxygen_mg_L,,8.6,,mine missing (G has value)
f5f6824e-318f-441b-8694-7c3968fe4af8,"Maple Creek, NE",2014-08-05,Specific_Conductance,,764.0,,mine missing (G has value)
f5f6824e-318f-441b-8694-7c3968fe4af8,"Maple Creek, NE",2014-08-05,Water_Temperature_C,,24.7,,mine missing (G has value)
f5f6824e-318f-441b-8694-7c3968fe4af8,"Maple Creek, NE",2014-08-05,pH,,8.3,,mine missing (G has value)
913a31fc-560d-4b63-8302-abbaa37670ef,"Maple Creek, NE",2014-08-14,Dissolved_Oxygen_mg_L,,8.3,,mine missing (G has value)
913a31fc-560d-4b63-8302-abbaa37670ef,"Maple Creek, NE",2014-08-14,Specific_Conductance,,785.0,,mine missing (G has value)
913a31fc-560d-4b63-8302-abbaa37670ef,"Maple Creek, NE",2014-08-14,Water_Temperature_C,,22.7,,mine missing (G has value)
913a31fc-560d-4b63-8302-abbaa37670ef,"Maple Creek, NE",2014-08-14,pH,,8.4,,mine missing (G has value)
ead231b6-aa6a-4c5e-8a05-0ea5e211dce0,"Maple Creek, NE",2014-08-18,Dissolved_Oxygen_mg_L,,8.2,,mine missing (G has value)
ead231b6-aa6a-4c5e-8a05-0ea5e211dce0,"Maple Creek, NE",2014-08-18,Specific_Conductance,,734.0,,mine missing (G has value)
ead231b6-aa6a-4c5e-8a05-0ea5e211dce0,"Maple Creek, NE",2014-08-18,Water_Temperature_C,,25.3,,mine missing (G has value)
ead231b6-aa6a-4c5e-8a05-0ea5e211dce0,"Maple Creek, NE",2014-08-18,pH,,8.3,,mine missing (G has value)
166d0ec0-6be8-450a-9715-e1f814bf1d89,"Maple Creek, NE",2014-09-02,Dissolved_Oxygen_mg_L,,7.7,,mine missing (G has value)
