Activity_ActivityIdentifier,Site_Abb,Water_Year,Activity_StartDate,variable,method1_value,method2_value,difference_method1_minus_method2,exception_type
5c0830d4-c7d8-47bb-8f8d-e61ae2ae431f,"Maple Creek, NE",2014,2014-01-23,Water_Temperature_C,0.2,,,method2_missing_method1_has_value
063ec376-124d-4735-97d2-62be1374c1c0,"Maple Creek, NE",2014,2014-02-27,Discharge_cfs,23.0,23.4,-0.3999999999999986,values_differ
063ec376-124d-4735-97d2-62be1374c1c0,"Maple Creek, NE",2014,2014-02-27,Dissolved_Oxygen_mg_L,13.0,,,method2_missing_method1_has_value
063ec376-124d-4735-97d2-62be1374c1c0,"Maple Creek, NE",2014,2014-02-27,Specific_Conductance,763.0,,,method2_missing_method1_has_value
063ec376-124d-4735-97d2-62be1374c1c0,"Maple Creek, NE",2014,2014-02-27,Water_Temperature_C,2.6,,,method2_missing_method1_has_value
063ec376-124d-4735-97d2-62be1374c1c0,"Maple Creek, NE",2014,2014-02-27,pH,8.0,,,method2_missing_method1_has_value
c7903d6f-4282-49ca-bdc3-29ddb144adb1,"Maple Creek, NE",2014,2014-03-12,Discharge_cfs,59.0,58.7,0.29999999999999716,values_differ
c7903d6f-4282-49ca-bdc3-29ddb144adb1,"Maple Creek, NE",2014,2014-03-12,Dissolved_Oxygen_mg_L,13.0,,,method2_missing_method1_has_value
c7903d6f-4282-49ca-bdc3-29ddb144adb1,"Maple Creek, NE",2014,2014-03-12,Specific_Conductance,572.0,,,method2_missing_method1_has_value
c7903d6f-4282-49ca-bdc3-29ddb144adb1,"Maple Creek, NE",2014,2014-03-12,Water_Temperature_C,2.5,,,method2_missing_method1_has_value
c7903d6f-4282-49ca-bdc3-29ddb144adb1,"Maple Creek, NE",2014,2014-03-12,pH,8.1,,,method2_missing_method1_has_value
2948974e-ad6e-4298-a875-1fcc444539d2,"Maple Creek, NE",2014,2014-03-18,Discharge_cfs,37.0,36.7,0.29999999999999716,values_differ
2948974e-ad6e-4298-a875-1fcc444539d2,"Maple Creek, NE",2014,2014-03-18,Dissolved_Oxygen_mg_L,12.0,,,method2_missing_method1_has_value
2948974e-ad6e-4298-a875-1fcc444539d2,"Maple Creek, NE",2014,2014-03-18,Specific_Conductance,663.0,,,method2_missing_method1_has_value
2948974e-ad6e-4298-a875-1fcc444539d2,"Maple Creek, NE",2014,2014-03-18,Water_Temperature_C,4.3,,,method2_missing_method1_has_value
2948974e-ad6e-4298-a875-1fcc444539d2,"Maple Creek, NE",2014,2014-03-18,pH,8.2,,,method2_missing_method1_has_value
9855251e-ae0c-4318-bcea-8a92a6c6b1db,"Maple Creek, NE",2014,2014-03-25,Discharge_cfs,29.0,28.9,0.10000000000000142,values_differ
9855251e-ae0c-4318-bcea-8a92a6c6b1db,"Maple Creek, NE",2014,2014-03-25,Dissolved_Oxygen_mg_L,12.9,,,method2_missing_method1_has_value
9855251e-ae0c-4318-bcea-8a92a6c6b1db,"Maple Creek, NE",2014,2014-03-25,Specific_Conductance,742.0,,,method2_missing_method1_has_value
9855251e-ae0c-4318-bcea-8a92a6c6b1db,"Maple Creek, NE",2014,2014-03-25,Water_Temperature_C,4.8,,,method2_missing_method1_has_value
9855251e-ae0c-4318-bcea-8a92a6c6b1db,"Maple Creek, NE",2014,2014-03-25,pH,8.3,,,method2_missing_method1_has_value
0d319497-ef06-4f51-9246-d2718ed36bf8,"Maple Creek, NE",2014,2014-04-10,Discharge_cfs,32.0,32.1,-0.10000000000000142,values_differ
0d319497-ef06-4f51-9246-d2718ed36bf8,"Maple Creek, NE",2014,2014-04-10,Dissolved_Oxygen_mg_L,10.9,,,method2_missing_method1_has_value
0d319497-ef06-4f51-9246-d2718ed36bf8,"Maple Creek, NE",2014,2014-04-10,Specific_Conductance,708.0,,,method2_missing_method1_has_value
0d319497-ef06-4f51-9246-d2718ed36bf8,"Maple Creek, NE",2014,2014-04-10,Water_Temperature_C,13.8,,,method2_missing_method1_has_value
0d319497-ef06-4f51-9246-d2718ed36bf8,"Maple Creek, NE",2014,2014-04-10,pH,8.3,,,method2_missing_method1_has_value
a4da2cf3-f6af-4842-9afd-b8bcbbe4c991,"Maple Creek, NE",2014,2014-04-22,Discharge_cfs,33.0,49.1,-16.1,values_differ
a4da2cf3-f6af-4842-9afd-b8bcbbe4c991,"Maple Creek, NE",2014,2014-04-22,Dissolved_Oxygen_mg_L,11.5,,,method2_missing_method1_has_value
a4da2cf3-f6af-4842-9afd-b8bcbbe4c991,"Maple Creek, NE",2014,2014-04-22,Specific_Conductance,676.0,,,method2_missing_method1_has_value
a4da2cf3-f6af-4842-9afd-b8bcbbe4c991,"Maple Creek, NE",2014,2014-04-22,Water_Temperature_C,14.0,,,method2_missing_method1_has_value
a4da2cf3-f6af-4842-9afd-b8bcbbe4c991,"Maple Creek, NE",2014,2014-04-22,pH,8.5,,,method2_missing_method1_has_value
6999a30e-2add-4556-bb74-b5f4d31b49ec,"Maple Creek, NE",2014,2014-05-07,Dissolved_Oxygen_mg_L,9.2,,,method2_missing_method1_has_value
6999a30e-2add-4556-bb74-b5f4d31b49ec,"Maple Creek, NE",2014,2014-05-07,Specific_Conductance,663.0,,,method2_missing_method1_has_value
6999a30e-2add-4556-bb74-b5f4d31b49ec,"Maple Creek, NE",2014,2014-05-07,Water_Temperature_C,22.9,,,method2_missing_method1_has_value
